Lon,Lat,ID,Name,W_p,W_max,alpha,m2,Ks,Kc,Theta_min,Theta_max,Tag
12.12,43.76,1,point_1,0.7,100,10.47392677,11.63769641,5.584102708,1.4,-9999,-9999,point_1
12.12,43.79,2,point_2,0.7,100,10.8919738,12.10219311,6.17015281,1.4,-9999,-9999,point_2
12.15,43.76,3,point_3,0.7,100,10.91641333,12.12934815,6.301531109,1.4,-9999,-9999,point_3
12.15,43.79,4,point_4,0.7,100,11.01160542,12.23511714,6.434204466,1.4,-9999,-9999,point_4
12.15,43.82,5,point_5,0.7,100,11.17043348,12.41159275,6.61033517,1.4,-9999,-9999,point_5
12.15,43.85,6,point_6,0.7,100,11.39323045,12.65914494,6.670599723,1.4,-9999,-9999,point_6
12.18,43.76,7,point_7,0.7,100,11.14697955,12.38553283,6.775042592,1.4,-9999,-9999,point_7
12.18,43.82,8,point_8,0.7,100,11.309968,12.56663111,6.919281015,1.4,-9999,-9999,point_8
12.18,43.85,9,point_9,0.7,100,11.4563031,12.72922566,6.876703142,1.4,-9999,-9999,point_9
12.18,43.88,10,point_10,0.7,100,11.89275288,13.21416987,6.407597522,1.4,-9999,-9999,point_10
12.18,43.91,11,point_11,0.7,100,11.86997651,13.18886279,7.201341822,1.4,-9999,-9999,point_11
12.21,43.64,12,point_12,0.7,100,11.73505863,13.03895404,6.902525419,1.4,-9999,-9999,point_12
12.21,43.76,13,point_13,0.7,100,11.36685579,12.62983976,7.426007712,1.4,-9999,-9999,point_13
12.21,43.82,14,point_14,0.7,100,11.47588748,12.75098608,7.480230265,1.4,-9999,-9999,point_14
12.21,43.85,15,point_15,0.7,100,11.57094191,12.85660212,7.26684725,1.4,-9999,-9999,point_15
12.21,43.88,16,point_16,0.7,100,11.77406167,13.08229075,6.973683287,1.4,-9999,-9999,point_16
12.21,43.91,17,point_17,0.7,100,12.05579901,13.39533223,6.571606003,1.4,-9999,-9999,point_17
12.24,43.61,18,point_18,0.7,100,11.8234656,13.137184,6.904367813,1.4,-9999,-9999,point_18
12.24,43.64,19,point_19,0.7,100,11.78514345,13.09460383,6.926555892,1.4,-9999,-9999,point_19
12.24,43.76,20,point_20,0.7,100,11.5404794,12.82275489,8.098800245,1.4,-9999,-9999,point_20
12.24,43.79,21,point_21,0.7,100,11.705029,13.00558778,10.7862445,1.4,-9999,-9999,point_21
12.24,43.82,22,point_22,0.7,100,11.60781176,12.89756862,8.198379393,1.4,-9999,-9999,point_22
12.24,43.85,23,point_23,0.7,100,11.66801065,12.96445628,8.032800785,1.4,-9999,-9999,point_23
12.24,43.88,24,point_24,0.7,100,11.76281918,13.06979909,7.684424936,1.4,-9999,-9999,point_24
12.24,43.91,25,point_25,0.7,100,11.86200476,13.18000529,7.382774206,1.4,-9999,-9999,point_25
12.27,43.61,26,point_26,0.7,100,11.85119349,13.16799277,6.941270062,1.4,-9999,-9999,point_26
12.27,43.64,27,point_27,0.7,100,11.83028414,13.14476015,6.96770858,1.4,-9999,-9999,point_27
12.27,43.67,28,point_28,0.7,100,11.80844638,13.12049597,7.047253803,1.4,-9999,-9999,point_28
12.27,43.79,29,point_29,0.7,100,11.65255403,12.94728226,8.437843891,1.4,-9999,-9999,point_29
12.27,43.82,30,point_30,0.7,100,11.67888527,12.97653919,8.509717099,1.4,-9999,-9999,point_30
12.27,43.85,31,point_31,0.7,100,11.74248417,13.04720463,10.68369574,1.4,-9999,-9999,point_31
12.27,43.88,32,point_32,0.7,100,11.83774405,13.15304895,8.524115859,1.4,-9999,-9999,point_32
12.27,43.91,33,point_33,0.7,100,11.8573643,13.17484922,8.085748185,1.4,-9999,-9999,point_33
