name,catchment,code,longitude,latitude,altitude,units,depth,porosity,valid,tag,amm_level_1,amm_level_2,amm_level_3
point_1,NA,1,12.12,43.76,-9999.0,-9999.0,-9999.0,-9999.0,1,point_1,-9999.0,-9999.0,-9999.0
point_2,NA,2,12.12,43.79,-9999.0,-9999.0,-9999.0,-9999.0,1,point_2,-9999.0,-9999.0,-9999.0
point_3,NA,3,12.15,43.76,-9999.0,-9999.0,-9999.0,-9999.0,1,point_3,-9999.0,-9999.0,-9999.0
point_4,NA,4,12.15,43.79,-9999.0,-9999.0,-9999.0,-9999.0,1,point_4,-9999.0,-9999.0,-9999.0
point_5,NA,5,12.15,43.82,-9999.0,-9999.0,-9999.0,-9999.0,1,point_5,-9999.0,-9999.0,-9999.0
point_6,NA,6,12.15,43.85,-9999.0,-9999.0,-9999.0,-9999.0,1,point_6,-9999.0,-9999.0,-9999.0
point_7,NA,7,12.18,43.76,-9999.0,-9999.0,-9999.0,-9999.0,1,point_7,-9999.0,-9999.0,-9999.0
point_8,NA,8,12.18,43.82,-9999.0,-9999.0,-9999.0,-9999.0,1,point_8,-9999.0,-9999.0,-9999.0
point_9,NA,9,12.18,43.85,-9999.0,-9999.0,-9999.0,-9999.0,1,point_9,-9999.0,-9999.0,-9999.0
point_10,NA,10,12.18,43.88,-9999.0,-9999.0,-9999.0,-9999.0,1,point_10,-9999.0,-9999.0,-9999.0
point_11,NA,11,12.18,43.91,-9999.0,-9999.0,-9999.0,-9999.0,1,point_11,-9999.0,-9999.0,-9999.0
point_12,NA,12,12.21,43.64,-9999.0,-9999.0,-9999.0,-9999.0,1,point_12,-9999.0,-9999.0,-9999.0
point_13,NA,13,12.21,43.76,-9999.0,-9999.0,-9999.0,-9999.0,1,point_13,-9999.0,-9999.0,-9999.0
point_14,NA,14,12.21,43.82,-9999.0,-9999.0,-9999.0,-9999.0,1,point_14,-9999.0,-9999.0,-9999.0
point_15,NA,15,12.21,43.85,-9999.0,-9999.0,-9999.0,-9999.0,1,point_15,-9999.0,-9999.0,-9999.0
point_16,NA,16,12.21,43.88,-9999.0,-9999.0,-9999.0,-9999.0,1,point_16,-9999.0,-9999.0,-9999.0
point_17,NA,17,12.21,43.91,-9999.0,-9999.0,-9999.0,-9999.0,1,point_17,-9999.0,-9999.0,-9999.0
point_18,NA,18,12.24,43.61,-9999.0,-9999.0,-9999.0,-9999.0,1,point_18,-9999.0,-9999.0,-9999.0
point_19,NA,19,12.24,43.64,-9999.0,-9999.0,-9999.0,-9999.0,1,point_19,-9999.0,-9999.0,-9999.0
point_20,NA,20,12.24,43.76,-9999.0,-9999.0,-9999.0,-9999.0,1,point_20,-9999.0,-9999.0,-9999.0
point_21,NA,21,12.24,43.79,-9999.0,-9999.0,-9999.0,-9999.0,1,point_21,-9999.0,-9999.0,-9999.0
point_22,NA,22,12.24,43.82,-9999.0,-9999.0,-9999.0,-9999.0,1,point_22,-9999.0,-9999.0,-9999.0
