Nome,Cod.Stazione,W_p,W_max,alpha,m2,Ks,Kc,Theta_min,Theta_max,Tag
Jesi,110,0.495,64.365,8.587,11.093,6.891,1.390,20.35,44.02,  jesi
Villa Fastiggi,112,0.704,104.586,8.915,9.133,4.024,1.226,21.41,45.79,  villa_fastiggi
Loro Piceno,124,0.486,132.096,8.158,9.217,11.494,1.482,13.08,42.35,  loro_piceno
Camerino,130,0.501,54.664,11.264,13.069,4.223,1.491,28.11,45.4,  camerino
Ponte della Barchetta,187,0.467,61.148,9.481,11.958,2.710,1.488,25.88,40.78,  ponte_barchetta
Sassotetto,204,0.509,90.735,8.234,14.334,8.818,1.482,12.38,31.69,  sassotetto
Colleponi,505,0.533,66.053,8.786,8.363,4.505,1.480,22.41,45.02,  colleponi
Fiastra Trebbio,604,0.540,75.169,7.758,13.252,35.341,1.492,18.06,45.45,  fiastra_trebbio
Fabriano Centro,605,0.423,51.305,4.379,13.605,19.849,1.490,23.56,46.76,  fabriano_centro
Pian di Pieca,607,0.499,100.150,8.453,3.172,1.311,1.452,21.75,41.33,  pian_di_pieca
Macerata Montalbano,609,0.510,47.493,13.642,14.908,1.021,1.270,22.04,46.58,  macerata_montalbano
Serravalle di Chienti,612,0.503,76.091,8.996,14.155,8.788,1.484,27.64,45.34,  serravalle_chienti
Monte Carpegna,719,0.463,158.044,14.307,14.905,1.016,1.492,35.74,57.21,  monte_carpegna
Frontino,721,0.457,55.942,13.633,14.844,1.027,1.492,30.86,50.31,  frontino
Pievebovigliana,723,0.498,77.011,10.577,14.233,2.295,1.039,13.98,30.17,  pievebovigliana
Monte San Vicino,733,0.498,82.318,13.702,14.876,1.026,1.049,23.72,47.36,  monte_san_vicino
Montegranaro,736,0.602,65.866,7.296,11.857,43.313,1.499,13,35.09,  montegranaro
Montemurello,737,0.536,146.558,14.077,14.875,1.026,1.493,23.03,48,  montemurello
Caldarola,740,0.495,68.326,3.914,7.181,40.711,1.483,22.18,49.02,  caldarola
Pieve di Cagna,742,0.532,46.477,7.264,11.465,2.458,1.496,24.62,43.65,  pieve_cagna
